Country,Export Value,Import Value,Continent,Year
Canada,1725617 ,2375970 ,North America,2012
Switzerland,704866 ,2989986 ,Eurpoe,2012
China,87311419 ,44861052 ,Asia,2013
Japan,31251834 ,17946305 ,Asia,2013
"Korea, Rep.",17710695 ,9422432 ,Asia,2013
United Kingdom,3542184 ,5964836 ,Eurpoe,2013
United States,7603068 ,23820299 ,North America,2013
India,8453698 ,2282313 ,Asia,2013
Singapore,5227307 ,12144185 ,Asia,2013
New Zealand,6785539 ,6996420 ,Oceania,2013
Malaysia,4457750 ,8846118 ,Asia,2013
"Hong Kong, China",2466223 ,1173729 ,Asia,2013
Vietnam,2027474 ,3665514 ,Asia,2013
Indonesia,4171865 ,5720872 ,Asia,2013
Thailand,4700538 ,10672586 ,Asia,2013
United Arab Emirates,1667130 ,3605880 ,Asia,2013
Netherlands,2003505 ,1654825 ,Eurpoe,2013
Philippines,1314840 ,686528 ,Asia,2013
Papua New Guinea,2249385 ,2893935 ,Oceania,2013
Germany,1374828 ,10937429 ,Eurpoe,2013
Canada,1044369 ,1921262 ,North America,2013
Switzerland,800933 ,2861075 ,Eurpoe,2013
China,81413613 ,46854594 ,Asia,2014
Japan,43135787 ,15478595 ,Asia,2014
"Korea, Rep.",17891714 ,10614475 ,Asia,2014
United Kingdom,3312570 ,5484532 ,Eurpoe,2014
United States,9943290 ,24148859 ,North America,2014
India,7995340 ,2768026 ,Asia,2014
Singapore,7609099 ,11396038 ,Asia,2014
New Zealand,7179159 ,7081296 ,Oceania,2014
Malaysia,5431982 ,10036756 ,Asia,2014
"Hong Kong, China",2544694 ,1077904 ,Asia,2014
Vietnam,2746189 ,4462048 ,Asia,2014
Indonesia,4533817 ,5491389 ,Asia,2014
Thailand,4637086 ,9844416 ,Asia,2014
United Arab Emirates,2631453 ,2543139 ,Asia,2014
Netherlands,1787465 ,1762836 ,Eurpoe,2014
Philippines,1465013 ,1060787 ,Asia,2014
Papua New Guinea,1945035 ,3340701 ,Oceania,2014
Germany,1225254 ,10706488 ,Eurpoe,2014
Canada,1106908 ,1835920 ,North America,2014
Switzerland,492016 ,2538879 ,Eurpoe,2014
China,61012456,46292722,Asia,2015
Japan,29826962,14793098,Asia,2015
Korea,13299325,8890,Asia,2015
United Kingdom,2785303,5338147,Eurpoe,2015
United States,9977449,22560990,North America,2015
India,7946612,3580674,Asia,2015
Singapore,5092143,6959026,Asia,2015
New Zealand,6262277,5726842,Oceania,2015
Malaysia,3424096,7391929,Asia,2015
"Hong Kong, China",2429770,903757,Asia,2015
Vietnam,2610552,3354368,Asia,2015
Indonesia,3729748,4213360,Asia,2015
Thailand,3251688,10197010,Asia,2015
United Arab Emirates,2516812,1858911,Asia,2015
Netherlands,1724156,1595889,Eurpoe,2015
Philippines,1161698,558442,Asia,2015
Papua New Guinea,1280618,2242136,Oceania,2015
Germany,1120757,9275084,Eurpoe,2015
Canada,1161530,1668497,North America,2015
Switzerland,519446,2420414,Eurpoe,2015
China,59992750 ,44241022 ,Asia,2016
Japan,26344515 ,14593655 ,Asia,2016
"Korea, Rep.",12770223 ,8099730 ,Asia,2016
United Kingdom,7504115 ,5310179 ,Eurpoe,2016
United States,8761918 ,21703312 ,North America,2016
India,7919028 ,3253180 ,Asia,2016
Singapore,4115667 ,5219372 ,Asia,2016
New Zealand,6462074 ,5626678 ,Oceania,2016
Malaysia,3504835 ,6912294 ,Asia,2016
"Hong Kong, China",7207581 ,691601 ,Asia,2016
Vietnam,2786240 ,3332260 ,Asia,2016
Indonesia,3975953 ,3668914 ,Asia,2016
Thailand,2640642 ,10872745 ,Asia,2016
United Arab Emirates,2145495 ,1527027 ,Asia,2016
Netherlands,1772079 ,1690298 ,Eurpoe,2016
Philippines,1431711 ,578917 ,Asia,2016
Papua New Guinea,1276912 ,2652738 ,Oceania,2016
Germany,1332604 ,10079658 ,Eurpoe,2016
Canada,1315148 ,1563706 ,North America,2016
Switzerland,780763 ,2361698 ,Eurpoe,2016
China,68471064 ,49971610 ,Asia,2017
Japan,24179669 ,16523673 ,Asia,2017
"Korea, Rep.",13232653 ,15892263 ,Asia,2017
United Kingdom,4549840 ,5433704 ,Eurpoe,2017
United States,8434027 ,23612147 ,North America,2017
India,10856139 ,4011527 ,Asia,2017
Singapore,3616274 ,6377955 ,Asia,2017
New Zealand,6801320 ,6059371 ,Oceania,2017
Malaysia,3400838 ,8632211 ,Asia,2017
"Hong Kong, China",9123399 ,590671 ,Asia,2017
Vietnam,3512532 ,3944662 ,Asia,2017
Indonesia,4887553 ,3213594 ,Asia,2017
Thailand,3055521 ,11073614 ,Asia,2017
United Arab Emirates,1337171 ,1612916 ,Asia,2017
Netherlands,2185915 ,1825035 ,Eurpoe,2017
Philippines,1752152 ,525104 ,Asia,2017
Papua New Guinea,1310462 ,2580290 ,Oceania,2017
Germany,1546892 ,10767694 ,Eurpoe,2017
Canada,1089489 ,1719365 ,North America,2017
Switzerland,1092232 ,2361980 ,Eurpoe,2017
China,87726225 ,57699422 ,Asia,2018
Japan,41355759 ,17351100 ,Asia,2018
"Korea, Rep.",17745604 ,10182484 ,Asia,2018
United Kingdom,3611194 ,5604748 ,Eurpoe,2018
United States,9552814 ,24664658 ,North America,2018
India,12369312 ,4241950 ,Asia,2018
Singapore,7327463 ,8822141 ,Asia,2018
New Zealand,7167242 ,6057062 ,Oceania,2018
Malaysia,5525384 ,9912706 ,Asia,2018
"Hong Kong, China",7676459 ,768004 ,Asia,2018
Vietnam,3708220 ,4679123 ,Asia,2018
Indonesia,4796360 ,3846286 ,Asia,2018
Thailand,4882874 ,11523928 ,Asia,2018
United Arab Emirates,2917471 ,2389739 ,Asia,2018
Netherlands,2568065 ,2354693 ,Eurpoe,2018
Philippines,1630260 ,550190 ,Asia,2018
Papua New Guinea,1599523 ,2701854 ,Oceania,2018
Germany,1661255 ,11623555 ,Eurpoe,2018
Canada,1417343 ,1702505 ,North America,2018
Switzerland,864715 ,2757164 ,Eurpoe,2018
China,102995845,56946556,Asia,2019
Japan,39454955,15471958,Asia,2019
Korea,17463868,8636986,Asia,2019
United Kingdom,10570263,5213782,Eurpoe,2019
United States,10170511,26226410,North America,2019
India,9702220,3364138,Asia,2019
Singapore,8371746,7489223,Asia,2019
New Zealand,7076784,5559642,Oceania,2019
Malaysia,6183516,7800406,Asia,2019
"Hong Kong, China",5169101,417163,Asia,2019
Vietnam,4205898,4301364,Asia,2019
Indonesia,4099330,3623278,Asia,2019
Thailand,3062922,10667031,Asia,2019
United Arab Emirates,2526467,1957916,Asia,2019
Netherlands,2167155,2405736,Eurpoe,2019
Philippines,1917633,520493,Asia,2019
Papua New Guinea,1754288,2873336,Oceania,2019
Germany,1703920,10527572,Eurpoe,2019
Canada,1517281,1957653,North America,2019
Switzerland,1316356,2500785,Eurpoe,2019
