Reporter Name,Partner Name,Trade Flow,Indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Australia,Denmark,Export,Export Partner Share (%),0.1401,0.0843,0.0989,0.1414,0.1403,0.133,0.1244,0.1003,0.0768,0.0873,0.0624,0.0922,0.0578,0.0389,0.0422,0.0479,0.052,0.0527,0.0284,0.0319
Australia,Djibouti,Export,Export Partner Share (%),0.0015,0.0005,0.002,0.0002,0.0017,0.0015,0.001,0.0015,0.0016,0.0014,0.0029,0.0017,0.0015,0.0012,0.001,0.0008,0.0015,0.0014,0.0007,0.0005
Australia,Dominica,Export,Export Partner Share (%),0.0002,0.0001,0.0001,0,0.0001,0.0004,0.0008,0.0001,0.0001,0,0.0001,0.0001,0,0.0001,0,0.0002,0.0001,0,0.0002,0.0001
Australia,Dominican Republic,Export,Export Partner Share (%),0.0165,0.0087,0.0156,0.0053,0.0039,0.0042,0.0046,0.0052,0.0054,0.0043,0.0058,0.0052,0.004,0.0027,0.0034,0.0039,0.0026,0.0036,0.0047,0.0041
Australia,East Timor,Export,Export Partner Share (%),0.0258,0.0066,0.083,0.0868,0.026,0.013,0.0185,0.0222,0.0157,0.022,0.0271,0.0113,0.0103,0.0085,0.0134,0.011,0.0143,0.0097,0.0059,0.0081
Australia,Ecuador,Export,Export Partner Share (%),0.0048,0.013,0.0091,0.0141,0.0219,0.0037,0.0051,0.005,0.0057,0.0027,0.0031,0.0043,0.0065,0.0046,0.007,0.0054,0.0076,0.0066,0.0066,0.0034
Australia,"Egypt, Arab Rep.",Export,Export Partner Share (%),0.5028,0.6042,0.5589,0.218,0.5488,0.2543,0.2549,0.2094,0.1619,0.2212,0.2161,0.2152,0.2069,0.1691,0.1778,0.214,0.1629,0.1767,0.1779,0.1374
Australia,El Salvador,Export,Export Partner Share (%),0.0113,0.0105,0.0077,0.0086,0.0082,0.0078,0.0111,0.0234,0.0161,0.0127,0.0127,0.0117,0.0087,0.0076,0.0094,0.0075,0.0073,0.0051,0.0066,0.0024
Australia,Equatorial Guinea,Export,Export Partner Share (%),0,0,0,0.0003,0.0001,0,0.0006,0.0002,0.0003,0.0003,0.0001,0.0004,0.0003,0,0.0004,0.0023,0,0.0001,0.0003,0.0001
Australia,Eritrea,Export,Export Partner Share (%),0.0018,0.0006,0.0007,0.005,0.0007,0.0004,0.0006,0.0005,0.0004,0.0002,0.0014,0.0012,0.0007,0.0005,0.0007,0.0034,0.0008,0.0009,0.0028,0.0014
Australia,Estonia,Export,Export Partner Share (%),0.0004,0.0008,0.0004,0.0008,0.0015,0.001,0.001,0.0022,0.0013,0.0021,0.0007,0.0046,0.003,0.002,0.0018,0.0019,0.0021,0.0018,0.0012,0.0034
Australia,Eswatini,Export,Export Partner Share (%),0.0004,0.001,0.0005,0.0003,0.001,0.0004,0.0002,0.0003,0.0002,0.0002,0.0003,0.0001,0.0001,0.0001,0.0001,0.0002,0,0,0,0
Australia,Ethiopia(excludes Eritrea),Export,Export Partner Share (%),0.0098,0.0051,0.007,0.0063,0.0062,0.0025,0.0035,0.0014,0.0006,0.0027,0.0013,0.0012,0.0008,0.0009,0.0014,0.0008,0.002,0.0008,0.0016,0.0005
